,School Year,Grade Level,Count of Students
180.0,20082009,4,23
180.0,20052006,5,33
180.0,20062007,5,29
180.0,20052006,3,27
180.0,20012002,K,27
180.0,20012002,1,21
180.0,20012002,2,26
180.0,20012002,3,20
180.0,20012002,4,25
180.0,20012002,5,23
180.0,20022003,K,25
180.0,20022003,1,27
180.0,20052006,4,32
180.0,20022003,3,27
180.0,20022003,4,24
180.0,20022003,5,25
180.0,20032004,K,28
180.0,20032004,1,28
180.0,20022003,2,26
180.0,20052006,2,27
180.0,20032004,2,30
180.0,20052006,1,19
180.0,20052006,K,28
180.0,20042005,5,34
180.0,20042005,3,28
180.0,20042005,4,28
180.0,20042005,1,30
180.0,20042005,K,22
180.0,20032004,5,20
180.0,20032004,4,31
180.0,20032004,3,26
180.0,20042005,2,29
182.0,20082009,1,31
182.0,20072008,3,30
182.0,20082009,K,20
182.0,20072008,5,28
182.0,20072008,4,35
182.0,20072008,2,29
182.0,20062007,2,23
182.0,20072008,K,29
182.0,20062007,5,37
182.0,20062007,4,31
182.0,20062007,3,34
182.0,20082009,3,28
182.0,20072008,1,32
182.0,20082009,4,29
182.0,20082009,2,32
182.0,20092010,K,33
182.0,20092010,1,27
182.0,20092010,2,32
182.0,20092010,3,39
182.0,20092010,4,31
182.0,20092010,5,31
182.0,20102011,K,37
182.0,20102011,1,37
182.0,20102011,2,29
182.0,20102011,3,40
182.0,20102011,4,35
182.0,20102011,5,39
182.0,20062007,1,28
182.0,20082009,5,34
182.0,20062007,K,31
182.0,20032004,2,30
182.0,20052006,4,38
182.0,20052006,5,38
182.0,20012002,1,35
182.0,20012002,2,29
182.0,20012002,3,21
182.0,20012002,4,22
182.0,20012002,5,25
182.0,20022003,K,35
182.0,20022003,1,32
182.0,20022003,2,35
182.0,20022003,3,32
182.0,20022003,4,23
182.0,20022003,5,21
182.0,20032004,K,28
182.0,20032004,1,33
182.0,20012002,K,34
182.0,20052006,3,31
182.0,20052006,2,32
182.0,20052006,1,26
182.0,20052006,K,26
182.0,20042005,4,36
182.0,20042005,3,34
182.0,20042005,5,25
182.0,20042005,1,29
182.0,20042005,K,24
182.0,20032004,5,25
182.0,20032004,4,28
182.0,20032004,3,36
182.0,20042005,2,29
184.0,20072008,2,24
184.0,20082009,K,24
184.0,20072008,5,30
184.0,20072008,4,27
184.0,20072008,3,23
184.0,20072008,1,15
184.0,20102011,5,27
184.0,20062007,5,29
184.0,20062007,4,28
184.0,20062007,3,23
184.0,20062007,2,19
184.0,20082009,1,21
184.0,20072008,K,18
184.0,20082009,2,14
184.0,20092010,3,13
184.0,20082009,4,28
184.0,20082009,5,30
184.0,20092010,K,13
184.0,20092010,1,23
184.0,20092010,2,22
184.0,20062007,1,20
184.0,20092010,4,26
184.0,20092010,5,29
184.0,20102011,K,17
184.0,20102011,1,18
184.0,20102011,2,24
184.0,20102011,3,22
184.0,20102011,4,16
184.0,20082009,3,25
184.0,20062007,K,17
184.0,20052006,3,26
184.0,20052006,4,30
184.0,20052006,5,16
184.0,20012002,K,26
184.0,20012002,1,13
184.0,20012002,2,18
184.0,20012002,3,16
184.0,20012002,4,22
184.0,20012002,5,11
184.0,20022003,K,27
184.0,20022003,2,11
184.0,20022003,3,20
184.0,20022003,4,19
184.0,20022003,5,18
184.0,20032004,K,23
184.0,20032004,1,25
184.0,20022003,1,30
184.0,20032004,3,14
184.0,20032004,2,32
184.0,20052006,2,23
184.0,20052006,1,19
184.0,20052006,K,22
184.0,20042005,4,15
184.0,20042005,3,31
184.0,20042005,5,28
184.0,20042005,1,25
184.0,20042005,K,20
184.0,20032004,5,19
184.0,20032004,4,21
184.0,20042005,2,24
186.0,20082009,1,26
186.0,20072008,3,23
186.0,20082009,K,19
186.0,20072008,5,22
186.0,20072008,4,19
186.0,20072008,2,18
186.0,20062007,2,19
186.0,20072008,K,23
186.0,20062007,5,23
186.0,20062007,4,24
186.0,20062007,3,18
186.0,20082009,2,25
186.0,20072008,1,26
186.0,20082009,3,19
186.0,20062007,1,17
186.0,20082009,5,21
186.0,20092010,K,30
186.0,20092010,1,23
186.0,20092010,2,27
186.0,20092010,3,20
186.0,20092010,4,22
186.0,20092010,5,27
186.0,20102011,K,23
186.0,20102011,1,30
186.0,20102011,2,21
186.0,20102011,3,30
186.0,20102011,4,25
186.0,20102011,5,20
186.0,20082009,4,25
186.0,20062007,K,27
186.0,20052006,4,22
186.0,20052006,3,27
186.0,20052006,5,18
186.0,20012002,1,17
186.0,20012002,2,18
186.0,20012002,3,13
186.0,20012002,4,23
186.0,20012002,5,16
186.0,20022003,K,26
186.0,20022003,1,20
186.0,20022003,2,19
186.0,20022003,3,16
186.0,20022003,4,12
186.0,20022003,5,24
186.0,20032004,K,16
186.0,20012002,K,23
186.0,20032004,2,21
186.0,20052006,2,19
186.0,20052006,1,22
186.0,20052006,K,19
186.0,20042005,5,15
186.0,20032004,1,25
186.0,20042005,3,18
186.0,20042005,4,19
186.0,20042005,1,17
186.0,20042005,K,20
186.0,20032004,5,12
186.0,20032004,4,14
186.0,20032004,3,20
186.0,20042005,2,24
188.0,20072008,4,21
188.0,20072008,3,16
188.0,20072008,2,27
188.0,20072008,1,19
188.0,20062007,K,18
188.0,20062007,5,22
188.0,20062007,4,16
188.0,20062007,3,17
188.0,20062007,2,16
188.0,20062007,1,25
188.0,20072008,K,22
188.0,20072008,5,13
188.0,20082009,5,22
188.0,20082009,1,23
188.0,20082009,2,19
188.0,20082009,3,27
188.0,20082009,4,16
188.0,20092010,K,19
188.0,20092010,1,20
188.0,20092010,2,29
188.0,20092010,3,22
188.0,20092010,4,28
188.0,20092010,5,16
188.0,20102011,K,33
188.0,20052006,5,20
188.0,20082009,K,17
188.0,20052006,4,24
188.0,20032004,1,13
188.0,20052006,2,20
188.0,20102011,1,19
188.0,20012002,K,11
188.0,20012002,1,19
188.0,20012002,2,28
188.0,20012002,3,19
188.0,20012002,4,16
188.0,20012002,5,22
188.0,20022003,K,12
188.0,20022003,1,17
188.0,20022003,2,21
188.0,20022003,3,29
188.0,20022003,4,19
188.0,20052006,3,9
188.0,20022003,5,20
188.0,20032004,2,19
188.0,20032004,3,25
188.0,20032004,4,27
188.0,20032004,5,23
188.0,20042005,K,16
188.0,20042005,1,21
188.0,20042005,2,10
188.0,20042005,3,26
188.0,20042005,4,25
188.0,20042005,5,27
188.0,20052006,K,21
188.0,20052006,1,17
188.0,20032004,K,18
188.0,20102011,2,15
188.0,20102011,3,32
188.0,20102011,4,19
188.0,20102011,5,24
190.0,20082009,K,40
190.0,20062007,1,45
190.0,20062007,2,39
190.0,20062007,3,41
190.0,20062007,5,36
190.0,20072008,K,54
190.0,20072008,1,47
190.0,20072008,2,45
190.0,20072008,3,38
190.0,20072008,4,43
190.0,20072008,5,29
190.0,20082009,1,52
190.0,20082009,2,48
190.0,20082009,3,48
190.0,20082009,5,42
190.0,20062007,K,41
190.0,20092010,K,45
190.0,20092010,1,46
190.0,20092010,2,58
190.0,20092010,3,53
190.0,20092010,4,57
190.0,20092010,5,44
190.0,20102011,K,52
190.0,20102011,1,50
190.0,20102011,2,42
190.0,20102011,3,63
190.0,20102011,4,49
190.0,20102011,5,58
190.0,20082009,4,35
190.0,20052006,5,43
190.0,20062007,4,31
190.0,20052006,3,31
190.0,20012002,K,45
190.0,20012002,1,45
190.0,20012002,2,42
190.0,20012002,3,43
190.0,20012002,4,43
190.0,20012002,5,54
190.0,20022003,K,36
190.0,20022003,1,51
190.0,20052006,4,41
190.0,20022003,3,39
190.0,20022003,4,33
190.0,20022003,5,44
190.0,20032004,K,33
190.0,20032004,1,39
190.0,20022003,2,45
190.0,20032004,3,48
190.0,20032004,2,46
190.0,20052006,1,35
190.0,20052006,K,41
190.0,20042005,5,44
190.0,20042005,4,49
190.0,20042005,3,48
190.0,20052006,2,37
190.0,20042005,1,36
190.0,20042005,K,40
190.0,20032004,5,29
190.0,20032004,4,39
190.0,20042005,2,38
192.0,20082009,K,18
192.0,20072008,5,12
192.0,20072008,4,15
192.0,20072008,3,23
192.0,20072008,2,9
192.0,20072008,1,13
192.0,20062007,5,19
192.0,20062007,4,12
192.0,20062007,3,16
192.0,20062007,2,21
192.0,20062007,1,6
192.0,20082009,1,14
192.0,20072008,K,13
192.0,20082009,2,13
192.0,20102011,2,17
192.0,20082009,4,20
192.0,20082009,5,12
192.0,20092010,K,22
192.0,20092010,1,16
192.0,20092010,2,15
192.0,20092010,3,13
192.0,20092010,4,13
192.0,20092010,5,15
192.0,20102011,K,22
192.0,20102011,4,15
192.0,20102011,5,16
192.0,20102011,3,19
192.0,20062007,K,10
192.0,20082009,3,9
192.0,20052006,5,23
192.0,20052006,2,17
192.0,20052006,3,11
192.0,20052006,4,21
192.0,20012002,K,19
192.0,20012002,1,15
192.0,20012002,2,22
192.0,20012002,3,18
192.0,20012002,4,11
192.0,20012002,5,19
192.0,20022003,K,15
192.0,20022003,1,19
192.0,20022003,2,18
192.0,20022003,3,27
192.0,20022003,4,19
192.0,20022003,5,14
192.0,20032004,K,16
192.0,20102011,1,23
192.0,20032004,2,21
192.0,20032004,1,12
192.0,20052006,1,24
192.0,20052006,K,6
192.0,20042005,5,22
192.0,20042005,3,19
192.0,20042005,4,22
192.0,20042005,1,16
192.0,20042005,K,20
192.0,20032004,5,15
192.0,20032004,4,25
192.0,20032004,3,17
192.0,20042005,2,12
194.0,20072008,1,23
194.0,20072008,4,32
194.0,20072008,3,27
194.0,20072008,2,26
194.0,20072008,K,21
194.0,20062007,1,23
194.0,20062007,4,32
194.0,20062007,3,33
194.0,20062007,2,23
194.0,20072008,5,28
194.0,20062007,5,19
194.0,20082009,K,35
194.0,20092010,K,50
194.0,20082009,2,26
194.0,20082009,3,28
194.0,20082009,4,30
194.0,20082009,5,38
194.0,20062007,K,22
194.0,20092010,1,36
194.0,20092010,2,29
194.0,20092010,3,28
194.0,20092010,4,41
194.0,20092010,5,37
194.0,20102011,K,29
194.0,20102011,1,44
194.0,20082009,1,24
194.0,20052006,5,25
194.0,20042005,4,21
194.0,20052006,3,31
194.0,20012002,K,25
194.0,20012002,1,25
194.0,20012002,2,36
194.0,20012002,3,26
194.0,20012002,4,32
194.0,20012002,5,30
194.0,20022003,K,37
194.0,20022003,1,32
194.0,20022003,2,25
194.0,20022003,3,37
194.0,20022003,4,23
194.0,20022003,5,31
194.0,20052006,4,20
194.0,20032004,K,31
194.0,20102011,2,37
194.0,20032004,3,22
194.0,20032004,4,40
194.0,20032004,5,24
194.0,20042005,K,28
194.0,20042005,1,34
194.0,20042005,2,34
194.0,20042005,3,24
194.0,20042005,5,39
194.0,20052006,K,21
194.0,20052006,1,25
194.0,20052006,2,32
194.0,20032004,1,39
194.0,20032004,2,32
194.0,20102011,3,28
194.0,20102011,5,37
194.0,20102011,4,28
196.0,20102011,4,55
196.0,20062007,1,34
196.0,20062007,2,31
196.0,20062007,3,30
196.0,20062007,4,29
196.0,20062007,5,40
196.0,20072008,K,37
196.0,20072008,1,33
196.0,20072008,2,30
196.0,20072008,3,23
196.0,20072008,4,30
196.0,20072008,5,26
196.0,20082009,K,39
196.0,20102011,5,57
196.0,20082009,1,37
196.0,20082009,3,43
196.0,20082009,4,27
196.0,20082009,5,38
196.0,20092010,K,55
196.0,20092010,1,45
196.0,20092010,2,43
196.0,20092010,3,50
196.0,20092010,4,51
196.0,20092010,5,40
196.0,20102011,K,41
196.0,20102011,1,61
196.0,20102011,2,53
196.0,20062007,K,32
196.0,20082009,2,36
196.0,20052006,5,46
196.0,20052006,3,29
196.0,20012002,K,32
196.0,20012002,1,32
196.0,20012002,2,42
196.0,20012002,3,32
196.0,20012002,4,35
196.0,20012002,5,47
196.0,20022003,K,23
196.0,20022003,1,41
196.0,20022003,2,38
196.0,20022003,3,48
196.0,20022003,4,36
196.0,20022003,5,34
196.0,20032004,K,30
196.0,20032004,1,28
196.0,20032004,2,39
196.0,20032004,3,38
196.0,20032004,4,43
196.0,20032004,5,45
196.0,20042005,K,26
196.0,20042005,1,32
196.0,20042005,2,29
196.0,20042005,3,34
196.0,20042005,4,40
196.0,20042005,5,42
196.0,20052006,K,33
196.0,20052006,1,26
196.0,20052006,2,32
196.0,20052006,4,40
196.0,20102011,3,50
198.0,20102011,K,12
198.0,20012002,K,15
198.0,20062007,1,10
198.0,20062007,2,15
198.0,20062007,3,12
198.0,20062007,4,9
198.0,20062007,5,15
198.0,20072008,K,14
198.0,20072008,1,17
198.0,20072008,2,13
198.0,20072008,3,13
198.0,20072008,4,12
198.0,20072008,5,10
198.0,20082009,1,12
198.0,20062007,K,16
198.0,20082009,2,17
198.0,20082009,4,12
198.0,20082009,5,11
198.0,20092010,K,16
198.0,20092010,1,13
198.0,20092010,2,13
198.0,20092010,3,17
198.0,20102011,1,14
198.0,20102011,2,13
198.0,20102011,3,12
198.0,20102011,4,18
198.0,20102011,5,20
198.0,20092010,5,14
198.0,20082009,3,13
198.0,20052006,5,9
198.0,20082009,K,13
198.0,20052006,3,8
198.0,20012002,1,11
198.0,20052006,4,14
198.0,20012002,2,12
198.0,20012002,3,13
198.0,20012002,4,14
198.0,20012002,5,9
198.0,20022003,K,6
198.0,20022003,1,16
198.0,20022003,2,11
198.0,20022003,3,12
198.0,20022003,4,13
198.0,20022003,5,14
198.0,20032004,K,19
198.0,20032004,1,9
198.0,20092010,4,17
198.0,20032004,3,13
198.0,20052006,2,15
198.0,20052006,1,14
198.0,20052006,K,8
198.0,20042005,5,15
198.0,20032004,2,16
198.0,20042005,3,14
198.0,20042005,4,8
198.0,20042005,1,15
198.0,20042005,K,15
198.0,20032004,5,14
198.0,20032004,4,12
198.0,20042005,2,8
200.0,20032004,4,16
200.0,20032004,3,18
200.0,20032004,5,11
200.0,20042005,K,10
200.0,20042005,5,20
200.0,20042005,2,10
200.0,20042005,3,15
200.0,20042005,4,22
200.0,20032004,2,18
200.0,20052006,K,17
200.0,20042005,1,20
200.0,20032004,1,8
200.0,20022003,1,16
200.0,20022003,5,14
200.0,20022003,4,11
200.0,20022003,3,13
200.0,20022003,2,19
200.0,20022003,K,7
200.0,20012002,5,10
200.0,20012002,4,15
200.0,20012002,3,9
200.0,20012002,2,13
200.0,20012002,1,22
200.0,20052006,1,17
200.0,20032004,K,19
200.0,20012002,K,15
200.0,20092010,4,18
200.0,20052006,4,14
200.0,20102011,5,24
200.0,20102011,4,23
200.0,20102011,3,22
200.0,20102011,2,23
200.0,20102011,1,19
200.0,20102011,K,27
200.0,20092010,5,13
200.0,20092010,3,23
200.0,20092010,2,20
200.0,20092010,1,19
200.0,20092010,K,17
200.0,20082009,5,13
200.0,20082009,4,15
200.0,20082009,3,15
200.0,20052006,3,11
200.0,20082009,2,21
200.0,20082009,K,18
200.0,20072008,5,14
200.0,20072008,4,13
200.0,20072008,3,15
200.0,20072008,2,18
200.0,20072008,1,24
200.0,20072008,K,11
200.0,20062007,5,15
200.0,20062007,4,11
200.0,20062007,3,17
200.0,20062007,2,14
200.0,20062007,1,17
200.0,20062007,K,22
200.0,20052006,5,21
200.0,20082009,1,15
200.0,20052006,2,19
202.0,20082009,K,10
202.0,20102011,K,12
202.0,20062007,1,18
202.0,20062007,2,6
202.0,20062007,3,10
202.0,20062007,4,10
202.0,20062007,5,7
202.0,20072008,K,4
202.0,20072008,1,2
202.0,20072008,2,16
202.0,20072008,3,7
202.0,20072008,4,11
202.0,20072008,5,9
202.0,20082009,1,11
202.0,20062007,K,2
202.0,20082009,2,2
202.0,20082009,4,6
202.0,20082009,5,16
202.0,20092010,K,11
202.0,20092010,1,15
202.0,20092010,2,12
202.0,20092010,3,6
202.0,20092010,4,20
202.0,20092010,5,12
202.0,20102011,3,14
202.0,20102011,4,7
202.0,20102011,5,21
202.0,20102011,1,15
202.0,20082009,3,17
202.0,20052006,5,8
202.0,20012002,K,9
202.0,20052006,3,11
202.0,20012002,1,7
202.0,20012002,2,7
202.0,20012002,3,10
202.0,20012002,4,7
202.0,20012002,5,5
202.0,20022003,K,8
202.0,20022003,1,10
202.0,20022003,2,8
202.0,20022003,3,5
202.0,20022003,4,10
202.0,20022003,5,8
202.0,20032004,K,5
202.0,20032004,1,8
202.0,20052006,4,8
202.0,20032004,3,7
202.0,20032004,2,8
202.0,20052006,2,11
202.0,20052006,1,7
202.0,20052006,K,12
202.0,20042005,4,7
202.0,20042005,3,7
202.0,20042005,5,11
202.0,20042005,1,9
202.0,20042005,K,8
202.0,20032004,5,11
202.0,20102011,2,14
202.0,20032004,4,8
202.0,20042005,2,9
204.0,20072008,3,3
204.0,20082009,K,5
204.0,20072008,5,10
204.0,20072008,4,2
204.0,20072008,2,12
204.0,20062007,2,5
204.0,20072008,K,7
204.0,20062007,5,10
204.0,20062007,4,10
204.0,20062007,3,4
204.0,20082009,1,7
204.0,20072008,1,2
204.0,20082009,2,4
204.0,20092010,3,5
204.0,20082009,4,5
204.0,20082009,5,3
204.0,20092010,K,8
204.0,20092010,1,4
204.0,20092010,2,12
204.0,20092010,4,12
204.0,20092010,5,11
204.0,20102011,K,11
204.0,20102011,1,9
204.0,20102011,2,6
204.0,20102011,3,13
204.0,20102011,4,5
204.0,20062007,1,11
204.0,20082009,3,12
204.0,20102011,5,16
204.0,20062007,K,4
204.0,20052006,4,11
204.0,20012002,K,8
204.0,20052006,5,7
204.0,20012002,1,7
204.0,20012002,2,6
204.0,20012002,3,5
204.0,20012002,4,5
204.0,20012002,5,5
204.0,20022003,K,11
204.0,20022003,1,10
204.0,20022003,2,6
204.0,20022003,3,5
204.0,20022003,4,7
204.0,20022003,5,6
204.0,20032004,K,2
204.0,20032004,3,7
204.0,20032004,2,9
204.0,20032004,1,13
204.0,20052006,3,9
204.0,20052006,1,7
204.0,20052006,K,6
204.0,20042005,5,8
204.0,20042005,4,6
204.0,20052006,2,4
204.0,20042005,2,11
204.0,20042005,1,4
204.0,20042005,K,6
204.0,20032004,5,8
204.0,20032004,4,6
204.0,20042005,3,11
206.0,20032004,4,16
206.0,20032004,5,17
206.0,20042005,K,13
206.0,20052006,1,12
206.0,20042005,1,14
206.0,20042005,4,18
206.0,20042005,3,14
206.0,20042005,5,12
206.0,20052006,K,11
206.0,20032004,3,16
206.0,20042005,2,12
206.0,20032004,2,19
206.0,20022003,1,19
206.0,20032004,K,15
206.0,20022003,5,19
206.0,20022003,4,15
206.0,20022003,3,14
206.0,20022003,2,14
206.0,20022003,K,9
206.0,20012002,5,12
206.0,20012002,4,13
206.0,20012002,3,14
206.0,20012002,2,15
206.0,20012002,1,11
206.0,20052006,2,16
206.0,20032004,1,10
206.0,20012002,K,14
206.0,20052006,3,13
206.0,20052006,5,18
206.0,20052006,4,14
206.0,20102011,5,16
206.0,20102011,4,16
206.0,20102011,3,13
206.0,20102011,2,13
206.0,20102011,1,18
206.0,20092010,5,12
206.0,20092010,4,18
206.0,20092010,3,16
206.0,20092010,2,12
206.0,20092010,1,13
206.0,20092010,K,15
206.0,20082009,5,15
206.0,20082009,4,11
206.0,20082009,3,12
206.0,20102011,K,19
206.0,20082009,1,10
206.0,20082009,2,16
206.0,20062007,1,13
206.0,20062007,2,12
206.0,20062007,3,11
206.0,20062007,4,15
206.0,20062007,5,12
206.0,20062007,K,15
206.0,20072008,1,17
206.0,20072008,2,12
206.0,20072008,3,10
206.0,20072008,4,13
206.0,20072008,5,15
206.0,20082009,K,13
206.0,20072008,K,8
207.0,20102011,3,1
208.0,20062007,5,21
208.0,20062007,3,10
208.0,20082009,2,21
208.0,20072008,1,18
208.0,20072008,2,22
208.0,20072008,3,16
208.0,20072008,4,13
208.0,20072008,5,14
208.0,20082009,K,18
208.0,20082009,1,19
208.0,20062007,4,14
208.0,20072008,K,12
208.0,20092010,3,25
208.0,20082009,4,21
208.0,20082009,5,18
208.0,20092010,K,27
208.0,20092010,1,23
208.0,20092010,2,23
208.0,20062007,2,17
208.0,20092010,4,29
208.0,20092010,5,31
208.0,20102011,K,19
208.0,20102011,1,32
208.0,20102011,2,26
208.0,20102011,3,28
208.0,20102011,4,28
208.0,20102011,5,38
208.0,20082009,3,26
208.0,20062007,1,19
208.0,20052006,K,17
208.0,20052006,5,23
208.0,20012002,K,13
208.0,20012002,1,20
208.0,20012002,2,20
208.0,20012002,3,19
208.0,20012002,4,23
208.0,20012002,5,19
208.0,20022003,K,19
208.0,20022003,1,17
208.0,20022003,2,23
208.0,20022003,3,22
208.0,20022003,4,18
208.0,20022003,5,30
208.0,20062007,K,18
208.0,20032004,K,12
208.0,20032004,2,15
208.0,20032004,4,24
208.0,20032004,5,21
208.0,20042005,K,14
208.0,20042005,1,12
208.0,20042005,2,13
208.0,20042005,3,17
208.0,20042005,4,21
208.0,20042005,5,24
208.0,20052006,1,15
208.0,20052006,2,14
208.0,20052006,3,15
208.0,20052006,4,18
208.0,20032004,1,18
208.0,20032004,3,23
210.0,20102011,1,57
210.0,20102011,2,46
210.0,20012002,1,17
210.0,20062007,K,16
210.0,20062007,1,27
210.0,20062007,2,30
210.0,20062007,3,35
210.0,20062007,4,30
210.0,20062007,5,28
210.0,20072008,K,20
210.0,20072008,1,13
210.0,20072008,2,25
210.0,20072008,3,27
210.0,20072008,4,32
210.0,20072008,5,30
210.0,20082009,K,36
210.0,20082009,1,22
210.0,20082009,2,23
210.0,20082009,3,26
210.0,20082009,4,29
210.0,20082009,5,30
210.0,20092010,K,48
210.0,20092010,1,45
210.0,20092010,2,30
210.0,20092010,3,31
210.0,20092010,4,30
210.0,20052006,5,29
210.0,20052006,4,27
210.0,20052006,3,35
210.0,20052006,2,32
210.0,20012002,2,39
210.0,20012002,3,19
210.0,20012002,4,23
210.0,20012002,5,29
210.0,20022003,K,27
210.0,20022003,1,24
210.0,20022003,2,20
210.0,20022003,3,40
210.0,20022003,4,19
210.0,20022003,5,27
210.0,20032004,K,26
210.0,20012002,K,27
210.0,20032004,1,30
210.0,20032004,3,27
210.0,20032004,4,45
210.0,20032004,5,22
210.0,20042005,K,22
210.0,20042005,1,28
210.0,20042005,2,32
210.0,20042005,3,27
210.0,20042005,4,26
210.0,20042005,5,44
210.0,20052006,K,23
210.0,20052006,1,28
210.0,20032004,2,27
210.0,20092010,5,35
210.0,20102011,K,45
210.0,20102011,3,29
210.0,20102011,4,33
210.0,20102011,5,33
212.0,20062007,1,51
212.0,20062007,2,51
212.0,20062007,3,35
212.0,20062007,4,32
212.0,20062007,5,31
212.0,20072008,K,39
212.0,20072008,1,55
212.0,20072008,2,55
212.0,20072008,3,51
212.0,20072008,4,34
212.0,20072008,5,27
212.0,20082009,K,44
212.0,20082009,1,46
212.0,20082009,3,59
212.0,20062007,K,48
212.0,20092010,2,52
212.0,20092010,3,55
212.0,20092010,4,59
212.0,20092010,5,61
212.0,20102011,K,51
212.0,20102011,1,51
212.0,20102011,2,56
212.0,20102011,3,41
212.0,20102011,4,55
212.0,20102011,5,61
212.0,20082009,4,53
212.0,20092010,K,46
212.0,20082009,2,54
212.0,20052006,5,45
212.0,20082009,5,32
212.0,20052006,4,26
212.0,20012002,1,38
212.0,20092010,1,56
212.0,20012002,K,27
212.0,20012002,2,50
212.0,20012002,3,33
212.0,20012002,4,31
212.0,20012002,5,42
212.0,20022003,K,41
212.0,20022003,2,36
212.0,20022003,3,46
212.0,20022003,4,32
212.0,20022003,5,35
212.0,20032004,K,33
212.0,20032004,1,39
212.0,20022003,1,27
212.0,20032004,3,38
212.0,20032004,2,26
212.0,20052006,2,36
212.0,20052006,1,45
212.0,20052006,K,52
212.0,20042005,4,34
212.0,20042005,3,26
212.0,20042005,5,46
212.0,20042005,1,37
212.0,20042005,K,49
212.0,20032004,5,34
212.0,20032004,4,47
212.0,20042005,2,36
212.0,20052006,3,30
214.0,20082009,1,16
214.0,20072008,3,17
214.0,20082009,K,17
214.0,20072008,5,13
214.0,20072008,4,19
214.0,20062007,3,14
214.0,20072008,1,19
214.0,20072008,K,16
214.0,20062007,5,13
214.0,20062007,4,15
214.0,20082009,2,20
214.0,20072008,2,19
214.0,20082009,3,14
214.0,20102011,5,24
214.0,20082009,5,23
214.0,20092010,K,26
214.0,20092010,1,29
214.0,20092010,2,20
214.0,20092010,3,20
214.0,20092010,4,22
214.0,20092010,5,23
214.0,20102011,K,32
214.0,20102011,1,32
214.0,20102011,2,26
214.0,20102011,3,25
214.0,20102011,4,19
214.0,20082009,4,20
214.0,20062007,2,17
214.0,20052006,5,14
214.0,20062007,K,17
214.0,20012002,K,13
214.0,20012002,1,13
214.0,20012002,2,18
214.0,20062007,1,19
214.0,20012002,4,21
214.0,20012002,5,10
214.0,20022003,K,12
214.0,20022003,1,10
214.0,20022003,2,11
214.0,20022003,3,18
214.0,20022003,4,11
214.0,20022003,5,21
214.0,20032004,1,14
214.0,20032004,2,11
214.0,20012002,3,12
214.0,20032004,4,16
214.0,20032004,3,8
214.0,20052006,4,13
214.0,20052006,3,15
214.0,20052006,2,11
214.0,20052006,1,12
214.0,20052006,K,15
214.0,20042005,5,17
214.0,20032004,K,10
214.0,20042005,3,14
214.0,20042005,2,14
214.0,20042005,1,10
214.0,20042005,K,12
214.0,20032004,5,12
214.0,20042005,4,13
216.0,20042005,3,12
216.0,20042005,2,10
216.0,20042005,1,16
216.0,20042005,K,12
216.0,20032004,5,14
216.0,20032004,4,10
216.0,20032004,3,13
216.0,20032004,2,14
216.0,20032004,1,10
216.0,20032004,K,14
216.0,20022003,3,8
216.0,20022003,4,13
216.0,20022003,2,12
216.0,20022003,1,14
216.0,20022003,K,8
216.0,20012002,5,10
216.0,20042005,4,11
216.0,20012002,3,13
216.0,20012002,2,9
216.0,20012002,1,13
216.0,20012002,K,14
216.0,20022003,5,6
216.0,20012002,4,12
216.0,20042005,5,8
216.0,20052006,1,12
216.0,20082009,3,10
216.0,20082009,4,9
216.0,20082009,5,13
216.0,20092010,K,16
216.0,20092010,2,10
216.0,20092010,3,12
216.0,20092010,4,10
216.0,20092010,5,12
216.0,20102011,K,17
216.0,20102011,1,16
216.0,20102011,2,15
216.0,20102011,3,8
216.0,20102011,4,14
216.0,20102011,5,14
216.0,20052006,K,15
216.0,20082009,2,9
216.0,20082009,1,3
216.0,20092010,1,12
216.0,20072008,5,14
216.0,20082009,K,11
216.0,20052006,4,13
216.0,20052006,5,13
216.0,20062007,K,11
216.0,20062007,1,15
216.0,20062007,2,14
216.0,20062007,3,17
216.0,20052006,3,11
216.0,20062007,5,20
216.0,20072008,4,18
216.0,20062007,4,14
216.0,20072008,3,10
216.0,20052006,2,14
216.0,20072008,1,11
216.0,20072008,K,9
216.0,20072008,2,10
218.0,20082009,3,6
218.0,20062007,3,15
218.0,20062007,4,13
218.0,20062007,5,13
218.0,20072008,K,11
218.0,20072008,2,8
218.0,20072008,3,7
218.0,20072008,4,14
218.0,20072008,5,12
218.0,20082009,K,7
218.0,20082009,1,10
218.0,20082009,2,13
218.0,20072008,1,13
218.0,20092010,4,5
218.0,20082009,5,11
218.0,20092010,K,9
218.0,20092010,1,8
218.0,20092010,2,10
218.0,20092010,3,9
218.0,20062007,2,7
218.0,20092010,5,6
218.0,20102011,K,17
218.0,20102011,1,13
218.0,20102011,2,8
218.0,20102011,3,12
218.0,20102011,4,9
218.0,20102011,5,3
218.0,20082009,4,6
218.0,20062007,1,7
218.0,20042005,5,7
218.0,20052006,5,13
218.0,20012002,K,10
218.0,20012002,1,13
218.0,20012002,2,14
218.0,20012002,3,10
218.0,20012002,4,9
218.0,20012002,5,10
218.0,20022003,K,6
218.0,20022003,1,7
218.0,20022003,2,13
218.0,20022003,3,11
218.0,20022003,4,7
218.0,20022003,5,11
218.0,20062007,K,14
218.0,20032004,K,15
218.0,20032004,3,12
218.0,20032004,4,10
218.0,20032004,5,6
218.0,20042005,K,10
218.0,20042005,1,14
218.0,20042005,2,13
218.0,20042005,3,8
